name,address,city,state,category,yelp_url
Shake Shack,E 23rd St and Madison Ave,Manhattan,NY,Burgers,http://www.yelp.com/biz/shake-shack-new-york-2
Big Gay Ice Cream,125 E 7th St.,Manhattan,NY,Desserts,http://www.yelp.com/biz/big-gay-ice-cream-shop-new-york
Crif Dogs,113 St. Marks Place,Manhattan,NY,Hot dogs,http://www.yelp.com/biz/crif-dogs-new-york
Mighty Quinn's,103 2nd Ave,Manhattan,NY,BBQ,http://www.yelp.com/biz/mighty-quinns-barbeque-new-york
Xe May,96 St Marks Place,Manhattan,NY,Vietnamese,http://www.yelp.com/biz/xe-may-sandwich-shop-new-york
Luzzo's,211 First Ave,Manhattan,NY,Pizza,http://www.yelp.com/biz/luzzos-new-york
Caracas,93 1/2 E 7th St,Manhattan,NY,Venezuelan,http://www.yelp.com/biz/caracas-arepa-bar-new-york
Ippudo,65 4th Ave,Manhattan,NY,Ramen,http://www.yelp.com/biz/ippudo-ny-new-york
El Sabroso,265 W 37th St,Manhattan,NY,Cuban,http://www.yelp.com/biz/el-sabroso-new-york
Soup Spot, 220 W 31st St ,Manhattan,NY,Soup,http://www.yelp.com/biz/soup-spot-new-york
